Stilts and Avocets (Recurvirostridae),Black-winged Stilt,Himantopus himantopus,5,
,Black-necked Stilt,Himantopus mexicanus,1,
,American Avocet,Recurvirostra americana,1,
Oystercatchers (Haematopodidae),Eurasian Oystercatcher,Haematopus ostralegus,5,
,American Oystercatcher,Haematopus palliatus,1,
,Black Oystercatcher,Haematopus bachmani,1,
Lapwings and Plovers (Charadriidae),Northern Lapwing,Vanellus vanellus,4,
,Black-bellied Plover,Pluvialis squatarola,1,
,European Golden-Plover,Pluvialis apricaria,4,
,American Golden-Plover,Pluvialis dominica,1,
,Pacific Golden-Plover,Pluvialis fulva,2,
,Lesser Sand-Plover,Charadrius mongolus,3,
,Greater Sand-Plover,Charadrius leschenaultii,5,
,Collared Plover,Charadrius collaris,5,
,Snowy Plover,Charadrius nivosus,1,
,Wilson's Plover,Charadrius wilsonia,1,
,Common Ringed Plover,Charadrius hiaticula,2,
,Semipalmated Plover,Charadrius semipalmatus,1,
,Piping Plover,Charadrius melodus,2,
,Little Ringed Plover,Charadrius dubius,5,
,Killdeer,Charadrius vociferus,1,
,Mountain Plover,Charadrius montanus,2,
,Eurasian Dotterel,Charadrius morinellus,4,
Jacanas (Jacanidae),Northern Jacana,Jacana spinosa,4,
"Sandpipers, Phalaropes, and Allies (Scolopacidae)",Terek Sandpiper,Xenus cinereus,3,
,Common Sandpiper,Actitis hypoleucos,3,
,Spotted Sandpiper,Actitis macularius,1,
,Green Sandpiper,Tringa ochropus,4,
,Solitary Sandpiper,Tringa solitaria,1,
,Gray-tailed Tattler,Tringa brevipes,3,
,Wandering Tattler,Tringa incana,1,
,Spotted Redshank,Tringa erythropus,4,
,Greater Yellowlegs,Tringa melanoleuca,1,
,Common Greenshank,Tringa nebularia,3,
,Willet,Tringa semipalmata,1,
,Lesser Yellowlegs,Tringa flavipes,1,
,Marsh Sandpiper,Tringa stagnatilis,5,
,Wood Sandpiper,Tringa glareola,2,
,Common Redshank,Tringa totanus,5,
,Upland Sandpiper,Bartramia longicauda,1,
,Little Curlew,Numenius minutus,5,
,Eskimo Curlew,Numenius borealis,6,
,Whimbrel,Numenius phaeopus,1,
,Bristle-thighed Curlew,Numenius tahitiensis,2,
,Far Eastern Curlew,Numenius madagascariensis,4,
,Slender-billed Curlew,Numenius tenuirostris,6,
,Eurasian Curlew,Numenius arquata,4,
,Long-billed Curlew,Numenius americanus,1,
,Black-tailed Godwit,Limosa limosa,3,
,Hudsonian Godwit,Limosa haemastica,1,
,Bar-tailed Godwit,Limosa lapponica,2,
,Marbled Godwit,Limosa fedoa,1,
,Ruddy Turnstone,Arenaria interpres,1,
